Firefox Country,Firefox Continent,Firefox DAU,Firefox DAU %,Firefox stream Country Code,Firefox country lang,"firefox vpn availability in stream geo-location by 10th JUNE roll-out plan (1=YES, 0=NO)",stream supplier name (use correct brand letter casing),stream product name (use correct brand letter casing),"stream supplier all game availability 1=TRUE, 0=FALSE","stream offer entitlement
FREE, FREE TRIAL, FREE AND PAID, PAID","stream offer entitlement sort order
1=FIFA, 2=FREE, 3=FREE AND PAID, 4=FREE TRIAL,5=PAID",stream platform home page URL,stream URL,"show in other regions list (1=on, 0=off switch)","show in production (1=on, 0=off switch)","Mozilla VPN
tested set to local country? (1=TESTED, OR 0=NOT-TESTED)","Mozilla VPN
test results (2=tested and NOT working, 1=tested and working, 0=NOT-TESTED)","PLAYBACK
of stream tested? (2=tested and NOT working, 1=tested and working, 0=NOT-TESTED)","PIP
of stream playback tested? (2=tested and NOT working, 1=tested and working, 0=NOT-TESTED)",Editorial team Notes,Curator,stream availability source URL
United States,Americas,"7,434,829",15.42%,US,"en-US, English (US)",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Alex D. ,
United States,Americas,"7,434,829",15.42%,US,"en-US, English (US)",1,Tubi,Tubi,0,FREE,2,https://tubitv.com/,https://tubitv.com/hubs/fifa-world-cup-fox-hub,1,1,1,1,1,1,"For the the 2026 FIFA World Cup, Tubi will simulcast select live matches (including Mexico vs. South Africa and USMNT vs. Paraguay) in 4K for free, alongside the FIFA World Cup™ FOX Hub featuring highlights, replays, and original content like the docuseries ""Destination World Cup 2026""",,https://www.livesoccertv.com/channels/tubi/
United States,Americas,"7,434,829",15.42%,US,"en-US, English (US)",1,YouTube TV,YouTube TV,1,FREE TRIAL,4,https://tv.youtube.com,https://tv.youtube.com/browse/UCgL1z0K3r-CJig5sXlSvDbg,1,1,1,1,1,2,I couldn't get PIP to work on YouTube TV -- A.D.,Alex D. ,
United States,Americas,"7,434,829",15.42%,US,"en-US, English (US)",1,FOX,FOX ONE,1,FREE TRIAL,4,https://www.fox.com/,https://www.fox.com/soccer/fifa-world-cup,1,1,1,1,1,1,,Alex D. ,https://www.fox.com/soccer/fifa-world-cup
United States,Americas,"7,434,829",15.42%,US,"en-US, English (US)",1,DirecTV,DirecTV,1,FREE TRIAL,4,https://www.directv.com/,https://www.directv.com/sports-info/soccer/worldcup,1,1,0,0,0,0,,Alex D. ,https://www.pcmag.com/how-to/how-to-watch-2026-fifa-world-cup-live-without-cable-even-for-free
United States,Americas,"7,434,829",15.42%,US,"en-US, English (US)",1,Hulu,Hulu,1,FREE TRIAL,4,https://www.hulu.com/,https://www.hulu.com/soccer,1,1,1,1,1,2,"alexd (1) I don't know if the soccer stream URL will ultimately be the best place to find World Cup games on Hulu (2) I got a browser popup that said the site might not work with a VPN, but it played fine for me. ",Alex D. ,https://www.pcmag.com/how-to/how-to-watch-2026-fifa-world-cup-live-without-cable-even-for-free
United States,Americas,"7,434,829",15.42%,US,"en-US, English (US)",1,Fubo,Fubo,1,FREE TRIAL,4,https://www.fubo.tv/,https://www.fubo.tv/stream/worldcup/,1,1,1,1,1,1,"FuboTV won't let you stream to an external monitor, which I wasn't expecting",Alex D. ,https://www.fubo.tv/news/soccer/2026-fifa-world-cup-how-to-watch-full-schedule-qualified-teams-groups-storylines-and-more/
United States,Americas,"7,434,829",15.42%,US,"en-US, English (US)",1,Peacock & Telemundo,Peacock,1,PAID,5,https://www.peacocktv.com,https://www.peacocktv.com/es-us/sports/copa-mundial#ib-section-section-6,1,1,1,2,1,1,Matches on Peacock are streaming in Spanish via Telemundo. PIP didn't appear to work on Peacock.,Alex D. ,https://www.nbcuniversal.com/article/nbcuniversals-peacock-ultimate-fan-destination-telemundos-exclusive-fifa-world-cup-2026tm-coverage
Germany,Europe,"5,475,312",11.36%,DE,"de, German",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,0,0,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Annemarie,https://www.plus.fifa.com/de/live-schedule/competitions
Germany,Europe,"5,475,312",11.36%,DE,"de, German",1,ZDF,ZDF,0,FREE,2,https://www.zdf.de/,https://www.zdf.de/live-tv,1,1,1,1,1,1,,Annemarie,https://www.zdf.de/live-tv
Germany,Europe,"5,475,312",11.36%,DE,"de, German",1,ARD,ARD,0,FREE,2,https://www.ardmediathek.de/,https://www.ardmediathek.de/live,1,1,1,1,1,1,,Annemarie,https://www.ardmediathek.de/live
Germany,Europe,"5,475,312",11.36%,DE,"de, German",1,SPORTSCHAU,SPORTSCHAU,0,FREE,2,https://www.sportschau.de/,https://www.sportschau.de/fussball/fifa-wm-2026/,1,1,1,1,1,1,"Can be left out, Sportschau is a sub domain of ARD",Annemarie,https://www.sportschau.de/fussball/fifa-wm-2026/
Germany,Europe,"5,475,312",11.36%,DE,"de, German",1,MagentaTV,MagentaTV,1,FREE & PAID,3,https://www.magenta.tv/,https://www.magenta.tv/url/tvhubs.t-online.de/v3/ftv-web/StructuredGrid/272846,1,1,1,1,1,1,No world cup hub page live (yet) pointint to the FOOTBALL page for now - update later!,Annemarie,https://www.telekom.de/sport/magenta-tv-fussball
France,Europe,"3,446,170",7.15%,FR,"fr, French",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,0,0,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Livia,
France,Europe,"3,446,170",7.15%,FR,"fr, French",1,M6,M6+,0,FREE,2,https://www.m6.fr/,https://www.m6.fr/coupe-du-monde-2026-p_26649,1,1,1,1,0,0,I can open the dedicated page but I need to have an account to watch. When I try to do that the page doesn't let me sign up (blank page).,Livia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_broadcasting_rights
France,Europe,"3,446,170",7.15%,FR,"fr, French",1,beIN SPORTS,beIN SPORTS,1,PAID,5,https://www.beinsports.com/fr-fr,https://connect.beinsports.com/france/ ,1,1,1,0,0,0,"There is no direct link to the streaming service, I believe because it requires a subscription (I can only see news and not streaming if I am not logged in). So I cannot test it.

[SFIELD] I acutally think you access BEIN via a Channel subscription on CANAL+ https://connect.beinsports.com/france/ REDIRECTS to: https://boutique.canalplus.com/produits/beincnct/bein-sports-connect/1 ",Livia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_broadcasting_rights
Poland,Europe,"2,083,429",4.32%,PL,"pl, Polish",0,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,0,0,0,0,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Annemarie,
Poland,Europe,"2,083,429",4.32%,PL,"pl, Polish",0,TVP SPORT,TVP SPORT,1,FREE,2,https://sport.tvp.pl/,https://sport.tvp.pl/transmisje,1,1,1,1,1,2,"I could watch videos, but I could NOT verify if PiP works. // This is the only provider of World Cup streams (Annemarie Munimus)",Annemarie,https://sport.tvp.pl/transmisje
Brazil,Americas,"1,923,018",3.99%,BR,"pt-BR, Portuguese (Brazil)",0,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,0,0,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Corrie,
Brazil,Americas,"1,923,018",3.99%,BR,"pt-BR, Portuguese (Brazil)",0,YouTube, CazéTV - YouTube,1,FREE,2,https://www.youtube.com/,https://www.youtube.com/@CazeTV/streams ,1,1,1,2,2,0,"
CazéTV on YouTube will stream all 104 matches for free; confirm stream product name to show [CazeTV can be accessed via streaming on YT, so would it be YouTube?]. ",Corrie,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_broadcasting_rights
Brazil,Americas,"1,923,018",3.99%,BR,"pt-BR, Portuguese (Brazil)",0,N Sports,SBT,0,FREE,2,https://nsports.com.br/n/,https://mais.sbt.com.br/,1,1,1,1,1,1,splitting coverage with Globo/CazeTV,Corrie,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_broadcasting_rights
Brazil,Americas,"1,923,018",3.99%,BR,"pt-BR, Portuguese (Brazil)",0,Globo,Globoplay,0,FREE & PAID,3,https://globoplay.globo.com/,https://globoplay.globo.com/tv-globo/ao-vivo/6120663/,1,1,1,2,0,0,"requires free account to access live streaming--could not test video playback or pip stream, could not create free account to test since requires CFB; splitting coverage with CazeTV/SBT",Corrie,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_broadcasting_rights
